Date,HomeTeam,AwayTeam,FTHG,FTAG,season,league_id,prob_draw_market,outlier_type,bound,deviation
2021-05-23,Strasbourg,Lorient,1,1,2021,5,0.455636301591668,upper,0.34361303346332284,0.11202326812834518
2024-04-27,Colchester,Crewe,1,1,2324,8,0.3674859159289296,upper,0.34361303346332284,0.02387288246560676
2020-02-21,Chambly,Annecy,2,1,1920,22,0.358158182480865,upper,0.34361303346332284,0.01454514901754217
2021-09-18,Bayern Munich,Bochum,7,0,2122,3,0.0727832806389749,lower,0.18531795442147925,-0.11253467378250434
2020-02-21,Bayern Munich,Paderborn,3,2,1920,3,0.0682528644340582,lower,0.18531795442147925,-0.11706508998742104
2020-02-21,Bayern Munich,Paderborn,3,2,1920,34,0.0682528644340582,lower,0.18531795442147925,-0.11706508998742104
2023-10-28,Bayern Munich,Darmstadt,8,0,2324,3,0.0670003017506157,lower,0.18531795442147925,-0.11831765267086354
2023-10-28,Bayern Munich,Darmstadt,8,0,2324,34,0.0670003017506157,lower,0.18531795442147925,-0.11831765267086354
2020-10-24,Paris FC,Dijon,4,0,2021,5,0.0634102332774842,lower,0.18531795442147925,-0.12190772114399505
2023-11-11,Bayern Munich,Heidenheim,4,2,2324,3,0.0602349808286599,lower,0.18531795442147925,-0.12508297359281934
2023-11-11,Bayern Munich,Heidenheim,4,2,2324,34,0.0602349808286599,lower,0.18531795442147925,-0.12508297359281934
2025-02-01,Bayern Munich,Holstein Kiel,4,3,2425,34,0.0585160807147453,lower,0.18531795442147925,-0.12680187370673396
2025-02-01,Bayern Munich,Holstein Kiel,4,3,2425,3,0.0585160807147453,lower,0.18531795442147925,-0.12680187370673396
