Column,Total,Missing,Mean,Median,Min,Max,Outliers (IQR),Outliers (%),Outliers (Z-score),Outliers (Mod Z),Lower Bound,Upper Bound
AvgD,25215,6,3.7830323220305373,3.52,2.09,16.44,2274,9.018441403926234,535,2050,2.494999999999999,4.695
FTHG,25221,0,1.5007335157210262,1.0,0.0,9.0,1811,7.180524166369295,178,53,-0.5,3.5
AvgA,25215,6,3.7907904025381716,3.14,1.08,38.04,1722,6.829268292682928,478,1464,-0.26000000000000023,6.94
prob_draw_market,25215,6,0.25898562142301,0.2680664616341888,0.0585160807147453,0.455636301591668,1535,6.087646242316082,502,1085,0.18531795442147925,0.34361303346332284
AvgH,25215,6,2.5734416022209,2.26,1.05,34.14,1511,5.992464802696808,465,1139,0.24499999999999988,4.445
prob_away_market,25215,6,0.31354751468555125,0.2998353606879685,0.0252892840943851,0.8773573606832675,585,2.3200475907198097,247,189,-0.0249865609905289,0.6344900422939894
prob_home_market,25215,6,0.42746686389143856,0.4168751421423698,0.0276464040615966,0.9161946351908694,302,1.1976997818758675,72,5,0.04560872563916202,0.800662704729304
FTAG,25221,0,1.2375401451171644,1.0,0.0,9.0,82,0.32512588715752744,309,16,-3.0,5.0
season,25221,0,2202.015899448872,2223.0,1920.0,2526.0,0,0.0,0,0,1566.5,2778.5
league_id,25221,0,11.931128821220412,7.0,1.0,34.0,0,0.0,0,8150,-14.5,37.5
home_team_id,25221,0,258.15772570476986,174.0,18.0,663.0,0,0.0,0,0,-387.0,877.0
away_team_id,25221,0,258.15514848737166,174.0,18.0,663.0,0,0.0,0,0,-387.0,877.0
